Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,SW_Push,EVQP2P02M,168.925,-116.15,-90.0,top
C10,0.1 uF,C_0603_1608Metric,157.46,-106.365,90.0,top
C11,2.2 uF,C_0603_1608Metric,155.96,-106.365,90.0,top
C12,100 pF,C_0603_1608Metric,168.725,-120.4,180.0,top
C13,100 pF,C_0603_1608Metric,168.725,-121.9,180.0,top
C14,100 pF,C_0603_1608Metric,168.725,-123.4,180.0,top
C15,100 pF,C_0603_1608Metric,168.725,-124.9,180.0,top
C5,100 nF,C_0603_1608Metric,162.725,-114.0,0.0,top
C6,4.7uF,C_0805_2012Metric,157.55,-92.5,0.0,top
C7,4.7uF,C_0805_2012Metric,161.95,-91.75,180.0,top
C8,2.2 uF,C_0603_1608Metric,145.0,-85.225,-90.0,top
D1,1N5819,D_SOD-123,144.5,-93.85,90.0,top
D2,CHRG LED,LED_0805_2012Metric,143.5625,-79.5,0.0,top
D3,BAT54C,SOT-23,152.45,-92.4375,180.0,top
D4,1N4007,D_SOD-123,143.1,-99.0,0.0,bottom
D5,LED_RGB,LED_RGB_PLCC-6,152.45,-80.1,0.0,top
IC1,ICM-42688-P,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,153.0725,-106.14,-90.0,top
MAX1,MAX16054,TSOT-23-6,157.55,-83.3625,90.0,top
MENU1,SW_Push,EVQP2P02M,144.425,-106.65,90.0,top
Q2,VP0610T or BSS84,SOT-23,170.5625,-87.45,90.0,top
Q3,IRLML2060,SOT-23,162.05,-83.9375,180.0,top
R1,5.1K,R_0603_1608Metric,162.675,-106.0,180.0,top
R12,10k,R_0603_1608Metric,165.735,-120.46,0.0,top
R13,10k,R_0603_1608Metric,165.735,-121.96,0.0,top
R14,10k,R_0603_1608Metric,165.735,-123.46,0.0,top
R15,10k,R_0603_1608Metric,165.735,-124.96,0.0,top
R16,330,R_0603_1608Metric,151.425,-82.85,180.0,top
R17,330,R_0603_1608Metric,151.475,-84.4,180.0,top
R18,330,R_0603_1608Metric,151.475,-86.0,180.0,top
R2,5.1K,R_0603_1608Metric,163.925,-112.0,180.0,top
R3,1K,R_0603_1608Metric,157.675,-78.5,0.0,top
R4,2k,R_0603_1608Metric,142.0,-85.0,-90.0,top
R5,150,R_0603_1608Metric,143.675,-81.5,0.0,top
R6,5.1K,R_0603_1608Metric,162.675,-115.5,0.0,top
R7,100k,R_0603_1608Metric,171.0,-83.0,0.0,top
R8,100k,R_0603_1608Metric,171.175,-84.5,180.0,top
R9,100k,R_0603_1608Metric,153.175,-87.5,0.0,top
SCRN1,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,157.73,-102.0,-90.0,top
SELECT1,SW_Push,EVQP2P02M,144.425,-114.15,90.0,top
SW_PWR1,SW_Push,EVQP2P02M,156.425,-73.85,-90.0,top
SW_RST1,SW_Push,EVQP2P02M,144.925,-121.65,90.0,top
U3,TPS7A03,SOT-23-5,159.8625,-89.0,90.0,top
U4,LTC4054ES5-4.2 or STC4054GR,TSOT-23-5,143.55,-88.8625,270.0,top
U5,USBLC6-2SC6,SOT-23-6,162.6125,-108.95,270.0,top
