"Footprint","Part Value","LCSC Part"
"C_0603_1608Metric","100 nF","C14663"
"C_0603_1608Metric","2.2 uF","C23630"
"C_0603_1608Metric","100 uF","C100082"
"C_0603_1608Metric","0.1 uF","C14663"
"C_0805_2012Metric","4.7uF","C1779"
"D_SOD-123","1N5819","C64885"
"D_SOD-123","1N4007","C22440662"
"EVQP2P02M","SW_Push","C512395"
"IIM42352","ICM-42688-P","C54308212"
"LED_0805_2012Metric","CHRG LED","C2297"
"LED_RGB_PLCC-6","LED_RGB","C2827305"
"LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y","ICM-42688-P","C54308212"
"R_0603_1608Metric","5.1K","C23186"
"R_0603_1608Metric","2k","C22975"
"R_0603_1608Metric","150","C22808"
"R_0603_1608Metric","100k","C25803"
"R_0603_1608Metric","10k","C25804"
"R_0603_1608Metric","1K","C21190"
"R_0603_1608Metric","330","C23138"
"SOT-23","BAT54C","C22466350"
"SOT-23","IRLML2060","C67275"
"SOT-23","VP0610T or BSS84","C8492"
"SOT-23-5","TPS7A03","C2873330"
"SOT-23-6","~","C79401"
"SOT-23-6","USBLC6-2SC6","C2687116"
"TSOT-23-5","LTC4054ES5-4.2 or STC4054GR","C262930"
